experiment,version,subjID,completed,system,day,overall_block,block,domain_type,response_type,motor_time_type,motor_condition,time_condition,mean_accuracy,mean_confidence,median_confidence,mean_total_RT,mean_log_RT,sensitivity,criterion,metad,efficiency,m_difference,include_block
報告順序と記憶メタ認知: 2.0,experiment2,004_KO,1,booth 6,1,3,3,memory,decision_then_confidence,MF_TU,fixed,unconstrained,0.73,2.25,2,1.59657229800008,0.176207159822616,1.25408436301432,-0.214579052065755,1.51495106310382,1.23698954102552,0.290243001427035,1
報告順序と記憶メタ認知: 2.0,experiment2,004_KO,1,booth 6,3,8,2,memory,confidence_then_decision,MR_TC,randomised,constrained,0.76,2.55,2,1.71349698900001,0.22785167046292,1.43976560055085,-0.195482287567387,1.82626945789694,1.29996221581347,0.42140596595758,1
報告順序と記憶メタ認知: 2.0,experiment2,004_KO,1,booth 6,2,6,3,memory,decision_and_confidence,MR_TC,randomised,constrained,0.717171717171717,2.60606060606061,3,1.53445711515155,0.167056167753174,1.15581612829678,0.128394498691698,0.732897148344055,0.648633117252648,-0.397013010187961,1
報告順序と記憶メタ認知: 2.0,experiment2,004_KO,1,booth 6,1,1,1,memory,decision_then_confidence,MR_TC,randomised,constrained,0.666666666666667,2.57575757575758,3,1.73537267777784,0.232114380732677,0.865330415809128,-0.0742064146533699,1.2560523370763,1.48297549410401,0.409071154939379,1
報告順序と記憶メタ認知: 2.0,experiment2,004_KO,1,booth 6,3,9,3,memory,confidence_then_decision,MR_TU,randomised,unconstrained,0.7,2.48,2,1.59946685399995,0.190698129248238,1.04880102541608,1.11022302462516e-16,1.30292671458022,1.26952633425062,0.276617390048313,1
報告順序と記憶メタ認知: 2.0,experiment2,004_KO,1,booth 6,2,4,1,memory,decision_and_confidence,MR_TU,randomised,unconstrained,0.76,2.61,2.5,1.80077614500004,0.226794172902914,1.41260512568018,-0,1.83382071601313,1.32886138272522,0.453826730295568,1
報告順序と記憶メタ認知: 2.0,experiment2,004_KO,1,booth 6,1,2,2,memory,decision_then_confidence,MR_TU,randomised,unconstrained,0.7,2.4,2,1.85096437599996,0.25039483000993,1.04880102541608,1.11022302462516e-16,1.60231894711153,1.56124368044921,0.576009622579632,1
報告順序と記憶メタ認知: 2.0,experiment2,005_YW,1,booth 6,3,9,3,memory,confidence_then_decision,MF_TU,fixed,unconstrained,0.69,2.41,2,1.03061013399993,-0.0133785468965138,0.992099311822549,0.0283508567967662,0.884439878366456,0.910848478773237,-0.0865667149119899,1
報告順序と記憶メタ認知: 2.0,experiment2,005_YW,1,booth 6,2,4,1,memory,decision_and_confidence,MF_TU,fixed,unconstrained,0.71875,2.01041666666667,2,1.20040739999994,0.0039290282173035,1.23849962423876,0.334074983774249,0.940541160432281,0.779977597788243,-0.265315473270203,1
報告順序と記憶メタ認知: 2.0,experiment2,005_YW,1,booth 6,1,2,2,memory,decision_then_confidence,MF_TU,fixed,unconstrained,0.81,2.18,2,1.21821380399999,0.0545304740649893,1.75698632141573,-0.0368719271349498,1.642482774005,0.959113514471965,-0.0700181440007897,1
報告順序と記憶メタ認知: 2.0,experiment2,005_YW,1,booth 6,3,7,1,memory,confidence_then_decision,MR_TC,randomised,constrained,0.785714285714286,2.1734693877551,2,1.7583724622449,0.23510488494871,1.59344912185896,-0.0904219980893943,1.08621860256167,0.699120643455625,-0.467474043664152,1
報告順序と記憶メタ認知: 2.0,experiment2,005_YW,1,booth 6,2,5,2,memory,decision_and_confidence,MR_TC,randomised,constrained,0.64,2.18,2,1.56460322600004,0.176312681675173,0.733810722767994,0.215936145887219,1.41498514036145,1.97056344277475,0.696923945453147,1
報告順序と記憶メタ認知: 2.0,experiment2,005_YW,1,booth 6,1,3,3,memory,decision_then_confidence,MR_TC,randomised,constrained,0.82,2.16,2,1.53088794600037,0.17604284859933,1.85251255500364,0.154063063313136,1.67645310606199,0.929858032859577,-0.126459862175129,1
報告順序と記憶メタ認知: 2.0,experiment2,005_YW,1,booth 6,3,8,2,memory,confidence_then_decision,MR_TU,randomised,unconstrained,0.831578947368421,2.4,2,2.04388033368437,0.284203687056336,1.92860835258868,0.0628500966206615,1.98770913968345,1.06061802542322,0.113604521397056,1
報告順序と記憶メタ認知: 2.0,experiment2,005_YW,1,booth 6,2,6,3,memory,decision_and_confidence,MR_TU,randomised,unconstrained,0.81,2.52,2,1.48800272800006,0.152531738940457,1.78662190365504,0.187008388987434,1.38724461096091,0.79766658878165,-0.351883779861847,1
報告順序と記憶メタ認知: 2.0,experiment2,005_YW,1,booth 6,1,1,1,memory,decision_then_confidence,MR_TU,randomised,unconstrained,0.736263736263736,2.36263736263736,2,1.73610883516493,0.218446153904339,1.34589843564199,-0.339944119623698,1.2539303785142,0.958891701791551,-0.0537567942618418,1
報告順序と記憶メタ認知: 2.0,experiment2,006_HM,1,booth 5,3,7,1,memory,confidence_then_decision,MF_TU,fixed,unconstrained,0.73,3.11,3,1.26239353200001,0.0833085588378926,1.25408436301432,-0.214579052065755,0.858444181010599,0.700937805402598,-0.366263880666191,1
報告順序と記憶メタ認知: 2.0,experiment2,006_HM,1,booth 5,2,5,2,memory,decision_and_confidence,MF_TU,fixed,unconstrained,0.757575757575758,2.8989898989899,3,1.43403048585866,0.112575107495838,1.40757005550578,-0.137836205820026,1.37469865508433,1.0003797525859,0.000521847196275571,1
報告順序と記憶メタ認知: 2.0,experiment2,006_HM,1,booth 5,1,3,3,memory,decision_then_confidence,MF_TU,fixed,unconstrained,0.79,2.73,3,1.34193867200003,0.110616189887453,1.6216676506829,-0.104531262501363,1.61366694505241,1.02020674266031,0.031961122520217,1
報告順序と記憶メタ認知: 2.0,experiment2,006_HM,1,booth 5,3,9,3,memory,confidence_then_decision,MR_TC,randomised,constrained,0.71,2.65,3,1.523610374,0.176364704759228,1.14710202167231,-0.268070222736759,0.836577290365087,0.746877991376475,-0.283521708432961,1
報告順序と記憶メタ認知: 2.0,experiment2,006_HM,1,booth 5,2,4,1,memory,decision_and_confidence,MR_TC,randomised,constrained,0.69,2.65,3,1.59389825799995,0.190055228373339,1.00180419864411,-0.142443306070862,1.01867729861714,1.03942945316088,0.0386422461954836,1
報告順序と記憶メタ認知: 2.0,experiment2,006_HM,1,booth 5,1,2,2,memory,decision_then_confidence,MR_TC,randomised,constrained,0.7,2.87,3,1.72267155900015,0.231929271674284,1.06476135609128,-0.173921884794447,1.39417999524071,1.33910549523007,0.353052167592466,1
