block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,interval,interTrial.interval,Mean,Standard deviation,SR_conf,RTrating,sub,age,gender,handedness,
2,Main,25,0.682389100024011,['left'],1,0,right,0.35346938775510206,4.058979895621233,3.0373411752730664,4.125,0.05,0.45999999999999996,1.1897669999743812,0,30,Man,Right,
3,Main,1,0.48469339997973293,['left'],1,0,right,0.4140816326530612,2.3538287083282396,1.2455343785208646,2.375,0.05,0.6399999999999999,1.24606680002762,0,30,Man,Right,
3,Main,2,0.5372949999873526,['right'],0,0,right,0.333265306122449,2.4007382745786643,3.941233127604618,2.375,0.05,-0.6799999999999999,1.2858582000480965,0,30,Man,Right,
3,Main,3,0.5409764000214636,['right'],1,180,left,0.35346938775510206,2.388677435482352,3.1061711699427024,2.375,0.05,0.6000000000000001,1.5854594000265934,0,30,Man,Right,
3,Main,4,0.5106717000016943,['right'],1,180,left,0.3130612244897959,2.4641646279144975,3.3939663759213063,2.375,0.05,-0.16000000000000003,0.7789515000185929,0,30,Man,Right,
3,Main,5,0.5880104000098072,['right'],1,180,left,0.4746938775510204,2.2983207626469113,2.9362731482549753,2.375,0.05,0.6200000000000001,0.9406283000134863,0,30,Man,Right,
3,Main,6,0.49651550000999123,['left'],1,0,right,0.3736734693877551,2.4186281545858503,2.4444199695445534,2.375,0.05,0.3799999999999999,0.9432793000014499,0,30,Man,Right,
3,Main,7,0.6055964999832213,['left'],1,0,right,0.3130612244897959,2.4823505420022003,2.3055667111685576,2.375,0.05,0.6200000000000001,1.5565712999668904,0,30,Man,Right,
3,Main,8,0.5098946000216529,['left'],1,0,right,0.09081632653061224,2.50988878758018,2.710171549781031,2.375,0.05,0.0,0.48369899997487664,0,30,Man,Right,
3,Main,9,0.7042218000278808,['right'],1,180,left,0.1716326530612245,2.348011920061379,2.654177986263969,2.375,0.05,-0.21999999999999997,0.922162999981083,0,30,Man,Right,
3,Main,10,0.46104920003563166,['left'],1,0,right,0.2726530612244898,2.3817601590906627,1.7874869767588877,2.375,0.05,0.3400000000000001,0.8957658999715932,0,30,Man,Right,
3,Main,11,0.494270300026983,['right'],1,180,left,0.19183673469387755,2.324585458748082,3.756519911354214,2.375,0.05,-0.28,0.8521952999872155,0,30,Man,Right,
3,Main,12,0.5753914999659173,['right'],1,180,left,0.3736734693877551,2.411593084685991,3.7096245545619992,2.375,0.05,0.52,0.8617636999697424,0,30,Man,Right,
3,Main,13,0.5873624000232667,['left'],0,180,left,0.05040816326530612,2.333364242699803,1.986988368670111,2.375,0.05,0.0,1.420713400002569,0,30,Man,Right,
3,Main,14,0.5466103999642655,['left'],1,0,right,0.29285714285714287,2.4523465964205284,2.6538674662199466,2.375,0.05,-0.07999999999999996,0.7950135999708436,0,30,Man,Right,
3,Main,15,0.5783589000348002,['right'],1,180,left,0.19183673469387755,2.4750192398260205,2.170644803138742,2.375,0.05,0.32000000000000006,0.737342499953229,0,30,Man,Right,
3,Main,16,0.5297627000254579,['left'],1,0,right,0.39387755102040817,2.4240728449760276,1.3978073029818163,2.375,0.05,0.3999999999999999,0.7538536999491043,0,30,Man,Right,
