block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,Staircase_number,staircase output coherence,sub,age,gender,handedness,
0,Staircase,83,0.562967199832201,['q'],1,180,,0.4583333333333333,0,,0,30,Man,Right,
0,Staircase,84,0.5391607000492513,['q'],1,180,,0.31666666666666665,0,,0,30,Man,Right,
0,Staircase,85,0.47292279987595975,['q'],1,180,,0.9416666666666667,0,,0,30,Man,Right,
0,Staircase,86,0.6868452997878194,['q'],1,180,,0.4583333333333333,0,,0,30,Man,Right,
0,Staircase,87,0.5942164999432862,['q'],1,180,,0.4166666666666667,0,,0,30,Man,Right,
0,Staircase,88,0.770978800021112,['q'],1,180,,0.43333333333333335,0,,0,30,Man,Right,
0,Staircase,89,0.565702100051567,['q'],1,180,,0.675,0,,0,30,Man,Right,
0,Staircase,90,0.5232484999578446,['e'],1,0,,0.9166666666666666,0,,0,30,Man,Right,
0,Staircase,91,0.5444334999192506,['q'],1,180,,0.39166666666666666,0,,0,30,Man,Right,
0,Staircase,92,0.48913139989599586,['q'],1,180,,0.4583333333333333,0,,0,30,Man,Right,
0,Staircase,93,0.5341213000938296,['e'],1,0,,0.8166666666666667,0,,0,30,Man,Right,
0,Staircase,94,0.4878808001521975,['e'],1,0,,0.23333333333333334,0,,0,30,Man,Right,
0,Staircase,95,0.4412965001538396,['e'],1,0,,0.8583333333333333,0,,0,30,Man,Right,
0,Staircase,96,0.7504547000862658,['e'],1,0,,0.15,0,,0,30,Man,Right,
0,Staircase,97,1.313960999948904,['q'],1,180,,0.175,0,,0,30,Man,Right,
0,Staircase,98,0.4411538999993354,['e'],1,0,,0.775,0,,0,30,Man,Right,
0,Staircase,99,0.49829789996147156,['q'],1,180,,0.175,0,,0,30,Man,Right,
0,Staircase,100,0.5210424000397325,['e'],1,0,,0.6333333333333333,0,,0,30,Man,Right,
0,Staircase,101,0.4694988999981433,['q'],1,180,,0.49166666666666664,0,,0,30,Man,Right,
0,Staircase,102,0.49182130000554025,['q'],1,180,,0.6333333333333333,0,,0,30,Man,Right,
0,Staircase,103,0.4381825001910329,['e'],1,0,,0.7166666666666667,0,,0,30,Man,Right,
0,Staircase,104,0.677744299871847,['e'],0,180,,0.05,0,,0,30,Man,Right,
0,Staircase,105,0.5213261998724192,['q'],1,180,,0.7,0,,0,30,Man,Right,
0,Staircase,106,5.450043600052595,['q'],1,180,,0.13333333333333333,0,,0,30,Man,Right,
0,Staircase,107,1.05130310007371,['e'],1,0,,0.31666666666666665,0,,0,30,Man,Right,
0,Staircase,108,0.4431563999969512,['e'],0,180,,0.39166666666666666,0,,0,30,Man,Right,
0,Staircase,109,1.0283339000307024,['e'],1,0,,0.875,0,,0,30,Man,Right,
0,Staircase,110,0.45687410002574325,['q'],1,180,,0.5583333333333333,0,,0,30,Man,Right,
0,Staircase,111,0.4110824998933822,['e'],1,0,,0.4583333333333333,0,,0,30,Man,Right,
0,Staircase,112,0.574498699977994,['q'],1,180,,0.5583333333333333,0,,0,30,Man,Right,
0,Staircase,113,0.4916353998705745,['q'],1,180,,0.8583333333333333,0,,0,30,Man,Right,
0,Staircase,114,0.5280590001493692,['e'],0,180,,0.03333333333333333,0,,0,30,Man,Right,
0,Staircase,115,1.315538400085643,['e'],1,0,,0.03333333333333333,0,,0,30,Man,Right,
0,Staircase,116,0.5141511000692844,['e'],1,0,,0.31666666666666665,0,,0,30,Man,Right,
0,Staircase,117,0.6077175000682473,['q'],1,180,,0.8,0,,0,30,Man,Right,
0,Staircase,118,0.7315318000037223,['q'],1,180,,0.7333333333333333,0,,0,30,Man,Right,
0,Staircase,119,0.5937115999404341,['q'],1,180,,0.9,0,,0,30,Man,Right,
0,Staircase,120,0.5878924999851733,['q'],1,180,,0.7333333333333333,0,,0,30,Man,Right,
0,Staircase,121,0.5223590000532568,['q'],1,180,,0.575,0,,0,30,Man,Right,
0,Staircase,122,0.59795630001463,['e'],1,0,,0.6,0,,0,30,Man,Right,
0,Staircase,123,0.6234277000185102,['q'],1,180,,0.31666666666666665,0,,0,30,Man,Right,
0,Staircase,124,0.6425222000107169,['q'],1,180,,0.6583333333333333,0,,0,30,Man,Right,
0,Staircase,125,0.7001877999864519,['q'],1,180,,0.20833333333333334,0,,0,30,Man,Right,
0,Staircase,126,0.5758815000299364,['e'],1,0,,0.06666666666666667,0,,0,30,Man,Right,
0,Staircase,127,0.5373064999002963,['e'],1,0,,0.9416666666666667,0,,0,30,Man,Right,
0,Staircase,128,0.4768358999863267,['q'],1,180,,1.0,0,,0,30,Man,Right,
0,Staircase,129,0.45372900017537177,['e'],1,0,,0.9166666666666666,0,,0,30,Man,Right,
0,Staircase,130,0.42191920010372996,['e'],1,0,,0.4166666666666667,0,,0,30,Man,Right,
0,Staircase,131,0.4465393000282347,['e'],1,0,,0.575,0,,0,30,Man,Right,
0,Staircase,132,0.43145429994910955,['e'],1,0,,1.0,0,,0,30,Man,Right,
0,Staircase,133,0.43402879987843335,['e'],1,0,,0.6166666666666667,0,,0,30,Man,Right,
0,Staircase,134,0.5817449998576194,['e'],1,0,,0.8,0,,0,30,Man,Right,
0,Staircase,135,0.6563991999719292,['e'],1,0,,1.0,0,,0,30,Man,Right,
0,Staircase,136,1.1397805002052337,['q'],1,180,,0.23333333333333334,0,,0,30,Man,Right,
0,Staircase,137,1.0901861998718232,['e'],1,0,,0.05,0,,0,30,Man,Right,
0,Staircase,138,0.8009772999212146,['e'],1,0,,0.008333333333333333,0,,0,30,Man,Right,
0,Staircase,139,0.5912277000024915,['q'],1,180,,0.375,0,,0,30,Man,Right,
0,Staircase,140,0.5380583999212831,['q'],1,180,,0.775,0,,0,30,Man,Right,
0,Staircase,141,0.5078614000231028,['e'],1,0,,0.4583333333333333,0,,0,30,Man,Right,
0,Staircase,142,0.5800668001174927,['e'],1,0,,0.6583333333333333,0,,0,30,Man,Right,
0,Staircase,143,0.4550870999228209,['q'],1,180,,0.6333333333333333,0,,0,30,Man,Right,
0,Staircase,144,0.9644937999546528,['q'],1,180,,0.9833333333333333,0,,0,30,Man,Right,
0,Staircase,145,0.6683784001506865,['q'],1,180,,0.5166666666666667,0,,0,30,Man,Right,
0,Staircase,146,0.9491046001203358,['q'],1,180,,0.6583333333333333,0,,0,30,Man,Right,
0,Staircase,147,0.6362782998476177,['q'],0,0,,0.06666666666666667,0,,0,30,Man,Right,
0,Staircase,148,0.8686901999171823,['q'],1,180,,0.5166666666666667,0,,0,30,Man,Right,
0,Staircase,149,0.5845037000253797,['e'],1,0,,0.775,0,,0,30,Man,Right,
0,Staircase,150,0.4111762000247836,['e'],1,0,,0.6583333333333333,0,,0,30,Man,Right,
,,,,,,,,,,0.1974745294626401,0,30,Man,Right,
