subject_id,Age,Sex,Group,Condition,Stimulus,Response,Accuracy,RT_dec,confidence,conf_rt,type3,type3_rt,attention
1,69,Female,1,0,0,1,0,1546,1,958,1,942,1
1,69,Female,1,0,0,0,1,506,1,2254,1,494,1
1,69,Female,1,0,0,0,1,649,2,1295,1,669,1
1,69,Female,1,0,1,0,0,874,2,862,1,702,1
1,69,Female,1,0,0,0,1,730,2,1054,2,974,1
1,69,Female,1,0,0,0,1,1354,1,893,1,1534,1
1,69,Female,1,0,0,0,1,906,1,1406,1,1166,1
1,69,Female,1,0,0,0,1,1162,1,847,2,735,1
1,69,Female,1,0,1,0,0,778,1,1759,1,526,1
1,69,Female,1,0,1,1,1,731,2,1854,1,1485,1
1,69,Female,1,0,1,1,1,1514,1,1950,1,766,1
1,69,Female,1,0,0,0,1,650,1,1327,1,509,1
1,69,Female,1,0,1,1,1,1658,1,1054,2,782,1
1,69,Female,1,0,1,1,1,1626,1,702,1,752,1
1,69,Female,1,0,0,0,1,601,2,1486,1,879,1
1,69,Female,1,0,0,0,1,489,2,1262,1,1135,1
1,69,Female,1,0,1,1,1,955,1,814,1,671,1
1,69,Female,1,0,1,0,0,1274,1,1999,1,847,1
1,69,Female,1,0,0,0,1,617,2,2063,1,750,1
1,69,Female,1,0,0,0,1,730,2,895,1,814,1
1,69,Female,1,0,0,0,1,858,2,1039,1,751,1
1,69,Female,1,0,1,1,1,1002,2,1838,1,911,1
1,69,Female,1,0,0,0,1,1139,1,1054,2,1326,1
1,69,Female,1,0,1,0,0,890,1,974,1,623,1
1,69,Female,1,0,1,1,1,1114,1,862,1,734,1
1,69,Female,1,0,1,0,0,1288,1,1166,1,654,1
1,69,Female,1,0,0,0,1,777,1,1006,2,703,1
1,69,Female,1,0,0,0,1,697,1,1950,1,575,1
1,69,Female,1,0,1,1,1,538,2,2784,1,862,1
1,69,Female,1,0,1,1,1,2058,1,1742,1,542,1
1,69,Female,1,0,1,0,0,1962,1,1245,1,990,1
1,69,Female,1,0,0,0,1,1114,1,1054,1,542,1
1,69,Female,1,0,1,0,0,3113,1,974,2,831,1
1,69,Female,1,0,0,0,1,793,1,1614,1,655,1
1,69,Female,1,0,0,0,1,1515,1,1918,1,607,1
1,69,Female,1,0,1,0,0,601,1,1183,1,575,1
1,69,Female,1,0,0,0,1,569,1,1839,1,590,1
1,69,Female,1,0,0,0,1,570,2,1519,1,591,1
1,69,Female,1,0,0,1,0,1114,1,1118,1,670,1
1,69,Female,1,0,0,0,1,570,2,1757,1,702,1
1,69,Female,1,0,1,0,0,1001,1,1870,1,590,1
1,69,Female,1,0,1,1,1,810,1,2623,1,702,1
1,69,Female,1,0,1,1,1,1625,1,1278,1,703,1
1,69,Female,1,0,0,0,1,1514,1,1054,1,1327,1
1,69,Female,1,0,0,0,1,761,1,1295,1,590,1
1,69,Female,1,0,0,1,0,1162,1,1007,2,814,1
1,69,Female,1,0,0,0,1,777,1,2221,1,910,1
1,69,Female,1,0,1,1,1,1770,1,750,1,719,1
1,69,Female,1,0,0,0,1,537,2,1407,1,1006,1
1,69,Female,1,0,1,1,1,681,2,862,1,1006,1
1,69,Female,1,0,0,0,1,537,2,1566,1,862,1
1,69,Female,1,0,0,0,1,874,1,1454,1,542,1
1,69,Female,1,0,0,0,1,1273,1,1486,1,623,1
1,69,Female,1,0,1,1,1,2362,1,1181,2,846,1
1,69,Female,1,0,0,0,1,649,2,1486,1,830,1
1,69,Female,1,0,0,0,1,761,2,894,1,944,1
1,69,Female,1,0,1,1,1,1385,1,1102,1,1054,1
1,69,Female,1,0,1,1,1,1274,1,2782,1,654,1
1,69,Female,1,0,1,0,0,1321,1,1087,2,623,1
