subject_id,Condition,Stimulus,Response,Accuracy,Confidence,stimAngle,RT_dec,RT_conf
1,1,1,0,0,2,-5.139540647,0.736551661,1.792857971
1,1,1,0,0,2,0.316900862,3.453103756,4.909059644
1,1,1,0,0,3,-3.248233161,0.873119136,1.816671898
1,1,1,0,0,1,-4.647361688,0.500620793,1.075944345
1,1,0,0,1,1,-8.526850122,0.845390297,1.949629595
1,1,1,1,1,2,-0.010000408,1.411445884,2.227295881
1,1,0,1,0,3,-1.358005989,0.812400403,1.48435609
1,1,1,1,1,3,1.70328904,0.820955708,1.412424846
1,1,1,0,0,1,8.784714894,3.503482588,4.816318944
1,1,1,1,1,3,0.927682219,1.632294185,2.04820358
1,1,1,0,0,2,-6.705234787,0.624577429,1.200270796
1,1,1,1,1,2,2.458404955,0.611874246,1.220075256
1,1,1,1,1,3,2.828237189,1.30322408,1.831363811
1,1,0,0,1,3,-0.500785117,1.248627534,1.936463323
1,1,1,1,1,3,5.398954007,0.934836004,1.686947981
1,1,1,1,1,3,10.06850488,3.254323806,3.782173233
1,1,1,1,1,2,-0.886896882,2.272255859,3.039825974
1,1,1,0,0,2,3.964850393,1.576726816,2.968597106
1,1,1,1,1,2,2.320939969,0.675958884,1.540083084
1,1,0,0,1,3,-5.881584013,1.529962339,2.249956433
1,1,0,1,0,3,10.41785054,1.875175342,2.739080661
1,1,1,0,0,2,0.854297306,1.495589829,2.231186518
1,1,0,0,1,3,-10.85717094,0.642003254,1.218144864
1,1,0,1,0,3,8.220605357,0.629447283,1.237379122
1,1,0,0,1,1,-0.446724091,1.255112331,1.655445009
1,1,1,0,0,2,-4.314237452,1.049508914,1.529451193
1,1,1,1,1,3,6.122100837,1.007787697,1.695540882
1,1,0,1,0,3,5.218691083,1.422947229,2.415576481
1,1,0,0,1,2,-7.776255039,0.576358569,1.201065214
1,1,0,0,1,1,-1.588947331,0.868611692,1.924602786
1,1,1,1,1,2,1.56575994,1.467907172,2.235527332
1,1,1,0,0,2,-4.580371763,1.332540749,2.020277769
1,1,0,1,0,2,4.70231724,0.614885153,1.574484888
1,1,0,0,1,1,-2.492577971,1.083302581,1.611261508
1,1,1,1,1,2,5.617312168,1.03911667,1.470472494
1,1,1,0,0,3,-1.898571742,1.095633004,1.703019982
1,1,0,0,1,3,-6.333356337,2.215458362,3.415517602
1,1,1,1,1,3,4.28617658,1.585126686,3.072670518
1,1,1,1,1,3,3.040884456,1.927426833,2.808002959
1,1,1,1,1,4,13.48929731,0.489510724,0.985620725
1,1,1,1,1,3,0.749365947,1.445924897,2.501951298
1,1,1,1,1,4,15.67532447,0.579602607,1.34794154
1,1,0,1,0,3,6.651154537,1.152909165,1.681122558
1,1,0,1,0,2,-14.0704716,1.601263218,3.232957047
1,1,0,0,1,2,-12.48325667,0.945092192,1.473624174
1,1,0,0,1,3,-5.841204805,1.179275981,1.563245298
1,1,0,0,1,2,-3.514899164,0.912709684,2.752965339
1,1,1,1,1,2,2.453604694,1.093194203,2.901375495
1,2,0,1,0,3,7.865098035,1.14612665,1.562239159
1,2,1,0,0,2,-5.800872104,1.999325324,2.495562021
1,2,0,0,1,4,-20.18682859,0.814659861,1.23052875
1,2,1,1,1,2,3.578742009,1.009195663,1.602022065
1,2,1,1,1,2,6.8316451,0.644817281,1.188283358
1,2,0,0,1,2,-2.179980002,0.761203288,1.256362304
1,2,0,1,0,3,11.84930666,1.035483951,1.418665795
1,2,1,1,1,4,18.39011908,0.517738432,1.062018384
1,2,0,0,1,4,-38.71107519,0.591255064,1.055550487
1,2,0,1,0,3,5.352255927,1.577782223,2.569553652
1,2,1,0,0,1,21.80674554,2.436453795,3.685100103
1,2,0,1,0,3,4.254209057,1.090693785,2.259211135
1,2,1,1,1,4,30.78144615,0.940391997,1.435919704
1,2,0,0,1,2,-1.312244713,1.302314615,1.909564922
1,2,1,0,0,2,-4.913876949,1.308711191,2.204512586
1,2,0,0,1,3,-9.887894991,1.127028623,1.831537193
1,2,1,0,0,4,-36.88231957,0.912921991,2.62461802
1,2,1,1,1,3,15.71914102,1.210059952,2.282425064
1,2,1,1,1,3,9.305021822,1.008898626,1.520716237
1,2,0,0,1,3,-17.8398691,0.903466653,1.607672724
1,2,1,0,0,3,-4.584738151,1.72244522,2.346679672
1,2,1,0,0,3,-12.25191332,1.775095162,2.3673832
1,2,1,1,1,3,6.340844425,1.075052539,1.794950196
1,2,0,0,1,2,-0.371798329,1.422819468,2.814570953
1,2,1,0,0,3,1.253501176,4.912499873,5.520603547
1,2,0,0,1,3,-16.19816852,0.802739903,1.506188659
1,2,0,0,1,3,-7.847614943,2.073265745,3.961682583
1,2,1,1,1,2,4.054314038,0.812050005,1.420088516
1,2,0,0,1,4,-24.43077142,0.678990822,1.286331297
1,2,1,1,1,4,30.4658622,0.566700109,1.062619652
1,2,1,1,1,4,15.13637357,0.592640894,1.071936373
1,2,1,1,1,4,30.25693697,0.61698548,1.161133836
1,2,1,1,1,2,-1.759136494,2.830755682,3.727192225
1,2,0,0,1,4,-27.33689948,0.955084603,1.642578852
1,2,0,1,0,3,7.33769315,1.74047134,2.540753938
1,2,0,0,1,2,-6.458407585,1.417626956,2.089532371
1,2,1,0,0,2,-6.4117549,1.576434392,2.408177723
1,2,0,0,1,3,-8.804324661,0.858661724,2.810895579
1,2,0,0,1,4,-43.35930579,1.37294823,1.836741186
1,2,0,1,0,3,12.31052468,1.446356262,2.245716286
1,2,0,0,1,4,-24.86143014,1.022857431,3.74326631
1,2,1,0,0,2,-5.192795474,5.658422161,7.098084061
1,2,1,1,1,3,31.31063067,0.924185765,2.283720802
1,2,1,0,0,2,-9.166376886,0.882716321,1.827241579
1,2,1,1,1,3,-0.231439115,2.86166195,3.421099394
1,2,1,0,0,4,-1.910937342,2.661999608,3.365669236
1,2,0,1,0,3,21.95546038,1.184930414,2.241069927
1,2,0,0,1,2,-5.743787198,1.145727244,2.441593341
1,2,1,0,0,2,-12.25901682,2.042237377,4.042878366
1,2,1,0,0,3,-13.04132061,2.041986134,2.570126488
1,1,1,1,1,3,12.81405806,1.964127652,3.180292959
1,1,1,1,1,3,14.02475158,0.623193267,1.103371715
1,1,1,1,1,4,12.21040931,2.9348209,4.135232271
1,1,0,0,1,3,-9.935641001,1.217499678,1.938113558
1,1,0,0,1,3,-3.681225037,1.015301665,1.718822473
1,1,1,1,1,3,1.20640771,1.237017758,2.08504032
1,1,0,1,0,2,-0.555004935,2.292825174,3.013051849
1,1,0,0,1,3,-5.833952739,0.990094648,1.597795187
1,1,1,0,0,3,-3.465890202,0.688885277,1.281406936
1,1,0,0,1,4,-5.08085644,0.514511463,1.249824896
1,1,1,1,1,3,8.892551405,1.203900205,1.939546488
1,1,1,1,1,3,16.6358877,1.337036232,2.184676223
1,1,0,0,1,3,-1.024269983,1.828303986,2.45206777
1,1,1,1,1,4,0.800261183,1.475794624,2.339837847
1,1,1,1,1,2,6.610033062,2.297099826,4.456746165
1,1,1,0,0,3,-0.525542948,2.214712046,2.918917265
1,1,1,1,1,3,13.57487835,1.156154742,2.243932802
1,1,1,1,1,4,9.041106662,1.117132659,2.268928633
1,1,0,0,1,3,-9.765394333,0.884908669,1.908617398
1,1,1,0,0,2,-1.61931066,1.099591782,1.914966307
1,1,0,1,0,3,5.645576714,1.026459261,1.795208412
1,1,0,0,1,4,-0.071500103,0.814036577,1.998706265
1,1,1,1,1,3,4.758353573,1.153430553,1.857430092
1,1,1,0,0,4,-7.844001467,1.066164549,5.46639447
1,1,1,1,1,3,3.767151868,0.687279921,1.503528408
1,1,0,1,0,2,1.713797147,1.094377356,2.038501866
1,1,0,0,1,3,-6.220740677,1.431284261,2.071388426
