Subj_idx,trial,condition,stimulus,response,confidence,rt,correct
1,26,0.06,1,2,0.703,1.17467454192229,0
1,27,0.06,1,1,0.569,0.986077125067823,1
1,28,0.06,1,2,0.617,0.852850000024773,0
1,29,0.06,1,1,0.506,2.14965362497605,1
1,30,0.06,2,1,0.544,1.56765879201703,0
1,1,0.06,1,2,0.668,1.09377174999099,0
1,2,0.06,2,2,0.617,0.974199916934595,1
1,3,0.06,2,1,0.595,1.27309162495658,0
1,4,0.06,1,1,0.634,1.03426329197828,1
1,5,0.06,2,1,0.516,2.6434710000176,0
1,6,0.06,2,2,0.556,1.32103229104541,1
1,7,0.06,1,2,0.69,1.07575204200111,0
1,8,0.06,2,1,0.523,1.39706683391705,0
1,9,0.06,1,1,0.605,2.89304029103369,1
1,10,0.06,1,2,0.618,1.09618279198185,0
1,11,0.06,1,1,0.672,0.839724124991335,1
1,12,0.06,1,1,0.672,0.629107165965252,1
1,13,0.06,1,2,0.773,0.943952833069488,0
1,14,0.06,1,1,0.701,0.964684291975573,1
1,15,0.06,1,2,0.63,1.04658500000369,0
1,16,0.06,2,1,0.704,1.07190433400683,0
1,17,0.06,1,1,0.648,1.25902891601436,1
1,18,0.06,2,1,0.648,0.828530582948588,0
1,19,0.06,1,1,0.739,0.924238958046772,1
1,20,0.06,2,2,0.753,0.969850167050026,1
1,21,0.06,1,1,0.61,0.876892082975246,1
1,22,0.06,1,2,0.684,0.85220854205545,0
1,23,0.06,1,2,0.759,1.22924637491815,0
1,24,0.06,2,1,0.619,1.4868432499934,0
1,25,0.06,1,2,0.575,2.04812979104463,0
1,26,0.06,2,2,0.606,1.43010279093869,1
1,27,0.06,2,2,0.591,1.0250191250816,1
1,28,0.06,2,2,0.555,0.842930749990046,1
1,29,0.06,1,2,0.624,1.53034099994693,0
1,30,0.06,1,1,0.527,2.57783316599671,1
1,1,0.06,1,2,0.595,2.97002016694751,0
1,2,0.06,1,1,0.625,1.25825745810289,1
1,3,0.06,1,1,0.66,1.65141166595276,1
1,4,0.06,2,2,0.705,1.08711379196029,1
1,5,0.06,2,1,0.621,0.928939540986903,0
1,6,0.06,1,2,0.61,1.95821424992755,0
1,7,0.06,1,2,0.685,1.30606049997732,0
1,8,0.06,2,2,0.598,0.995654332917184,1
1,9,0.06,1,1,0.613,0.922728291014209,1
1,10,0.06,1,2,0.608,1.08326958294492,0
1,11,0.06,1,2,0.623,1.02378062508069,0
1,12,0.06,2,2,0.703,1.07623133296147,1
1,13,0.06,2,2,0.667,0.8913205829449,1
1,14,0.06,2,2,0.737,0.940218125004321,1
1,15,0.06,2,2,0.747,0.874506665975787,1
1,16,0.06,2,2,0.747,0.836509499931708,1
1,17,0.06,1,2,0.795,0.767916375072673,0
1,18,0.06,1,2,0.523,1.82330799999181,0
1,19,0.06,1,1,0.561,1.89553741691634,1
1,20,0.06,2,2,0.688,1.28270954196341,1
1,21,0.06,1,2,0.757,1.02872987498995,0
1,22,0.06,1,1,0.578,1.5124602089636,1
1,23,0.06,1,2,0.646,0.868194708018564,0
1,24,0.06,2,2,0.749,1.05944283399731,1
1,25,0.06,2,2,0.744,0.781714166980237,1
1,26,0.06,2,2,0.834,1.11327170801815,1
1,27,0.06,1,2,0.841,1.6100294169737,0
1,28,0.06,2,1,0.672,2.72455358307343,0
1,29,0.06,2,1,0.669,2.0170743749477,0
1,30,0.06,2,2,0.72,1.14867733290885,1
1,1,0.08,1,2,0.583,2.05414679204114,0
1,2,0.08,1,1,0.624,1.97683112497907,1
1,3,0.08,1,2,0.665,1.94525495904963,0
